tag,status,best_pt,run_output_root,best_precision,best_precision_epoch,best_recall,best_recall_epoch,best_map50,best_map50_epoch,best_map50_95,best_map50_95_epoch
deg5_sc0p3_mo0_hsvs0p5,ok,models/grid_search_v11_aug/best_deg5_sc0p3_mo0_hsvs0p5.pt,outputs/yolo11_grid_search/runs/deg5_sc0p3_mo0_hsvs0p5,0.85015,116,0.43403,75,0.60340,75,0.29518,75
deg5_sc0p4_mo1_hsvs0p5,ok,models/grid_search_v11_aug/best_deg5_sc0p4_mo1_hsvs0p5.pt,outputs/yolo11_grid_search/runs/deg5_sc0p4_mo1_hsvs0p5,0.69253,96,0.51805,96,0.56916,96,0.29258,96
deg5_sc0p4_mo0p5_hsvs0p5,ok,models/grid_search_v11_aug/best_deg5_sc0p4_mo0p5_hsvs0p5.pt,outputs/yolo11_grid_search/runs/deg5_sc0p4_mo0p5_hsvs0p5,0.81235,81,0.55898,66,0.58809,66,0.28834,84
deg10_sc0p4_mo0p5_hsvs0p5,ok,models/grid_search_v11_aug/best_deg10_sc0p4_mo0p5_hsvs0p5.pt,outputs/yolo11_grid_search/runs/deg10_sc0p4_mo0p5_hsvs0p5,0.86201,124,0.49968,92,0.63389,92,0.28833,92
deg10_sc0p3_mo0p5_hsvs0p3,ok,models/grid_search_v11_aug/best_deg10_sc0p3_mo0p5_hsvs0p3.pt,outputs/yolo11_grid_search/runs/deg10_sc0p3_mo0p5_hsvs0p3,0.78839,108,0.37958,164,0.52407,108,0.28376,116
deg0_sc0p4_mo1_hsvs0p7,ok,models/grid_search_v11_aug/best_deg0_sc0p4_mo1_hsvs0p7.pt,outputs/yolo11_grid_search/runs/deg0_sc0p4_mo1_hsvs0p7,0.60021,112,0.40795,112,0.47318,112,0.28069,192
deg0_sc0p2_mo1_hsvs0p7,ok,models/grid_search_v11_aug/best_deg0_sc0p2_mo1_hsvs0p7.pt,outputs/yolo11_grid_search/runs/deg0_sc0p2_mo1_hsvs0p7,0.65826,72,0.42599,72,0.53464,72,0.27798,72
deg0_sc0p4_mo0_hsvs0p7,ok,models/grid_search_v11_aug/best_deg0_sc0p4_mo0_hsvs0p7.pt,outputs/yolo11_grid_search/runs/deg0_sc0p4_mo0_hsvs0p7,0.55549,188,0.40829,180,0.47384,180,0.27643,152
deg0_sc0p4_mo0p5_hsvs0p7,ok,models/grid_search_v11_aug/best_deg0_sc0p4_mo0p5_hsvs0p7.pt,outputs/yolo11_grid_search/runs/deg0_sc0p4_mo0p5_hsvs0p7,0.59165,78,0.46721,54,0.45631,152,0.27568,164
deg10_sc0p2_mo0p5_hsvs0p3,ok,models/grid_search_v11_aug/best_deg10_sc0p2_mo0p5_hsvs0p3.pt,outputs/yolo11_grid_search/runs/deg10_sc0p2_mo0p5_hsvs0p3,0.85933,124,0.59521,92,0.67775,124,0.26793,120
